TF	gene	highConfAnnot	nMotifs	bestMotif	NES	motifDb	coexModule	spearCor	CoexWeight
Dlx5	2610203C20Rik	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.63315160147508	0.515189741892179
Dlx5	Adamts17	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.420729062121487	0.294668285959005
Dlx5	AI854703	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.181007150198914	0.0958839607876403
Dlx5	Arhgef10l	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.115857179007301	0.0687793561799364
Dlx5	Bahcc1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.0757889457311343	0.205091416380476
Dlx5	Cirbp	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.279251867280481	0.142317677565311
Dlx5	Cplx1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.460092522809854	0.162059358313277
Dlx5	Dlx1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.629100015150989	0.799387805626528
Dlx5	Gad1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.510056478699902	0.16769967345562
Dlx5	Gadd45gip1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.279158379484235	0.137905987882031
Dlx5	Hexim2	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.155870598422825	0.101916054321025
Dlx5	Igf1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.460465899033362	0.222626368462582
Dlx5	Iglon5	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.171924282348203	0.12518248059075
Dlx5	Ltbp3	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.255629396611861	0.151948002490983
Dlx5	Myt1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.244703486997772	0.252504979558433
Dlx5	Npas1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.510232550380849	0.321564922038444
Dlx5	Nxph1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.216519251797022	0.146897495220946
Dlx5	Peli2	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.0760533176119884	0.103763407724172
Dlx5	Plekha6	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.0839441292866573	0.0661852717720803
Dlx5	Prkab1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.186560661359391	0.307395971575825
Dlx5	Ptchd2	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.0517012307033057	0.135064870358481
Dlx5	Racgap1	TRUE	2	transfac_pro__M01388	3.92	10kb	top5perTarget	0.333187415893749	0.218063689469797
Dlx5	Rgs8	TRUE	1	transfac_pro__M01388	3.92	10kb	top5perTarget	0.319877127903982	0.151180016302764
Dlx5	Robo1	TRUE	1	transfac_pro__M01388	3.92	10kb	top5perTarget	0.187480703535754	0.123325617151158
